agent_id,duration_sec,csat_score,issue_category,customer_persona,clean_text,talk_ratio,turns_count,resolved,escalated,churned,hour_of_day,is_weekend,avg_word_per_turn
AGENT_493,408,1,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Jennifer. How can I assist you today? I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. Let me transfer you to a specialist who can better assist. This is taking too long to resolve. I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing. I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing.,1.33,12,False,False,True,7,0,34.0
AGENT_653,669,1,internet,churn_risk,"This is why I'm leaving - your service is unreliable! Thank you for calling. This is Mike. How can I assist you today? Let me pull up your account... Okay, thank you for checking on that. Can you repeat your account number? I hope this gets resolved soon. I have to look this up in our system. I'm getting frustrated with this process. Can you repeat your account number? I'm not happy with how this is progressing. Let me see what I can find here. This is taking too long to resolve. Let me see what I can find here. This is taking too long to resolve. I'll need to check on that for you. I'm getting frustrated with this process. Can you repeat your account number? I'm not happy with how this is progressing.",1.08,18,False,True,True,5,0,37.17
AGENT_745,1200,2,cancellation,elderly,"I think I need to cancel some services. I don't use them all. Thank you for calling. This is Mike. How can I assist you today? I'm still looking into this for you. Okay, thank you for checking on that. I'm still looking into this for you. That's helpful information, thanks. I need more time to resolve your concern. I hope this gets resolved soon. Let me continue checking on this issue. I hope this gets resolved soon. I'm still looking into this for you. This is taking too long to resolve. I need more time to resolve your concern. I'm getting frustrated with this process. I need more time to resolve your concern. I'm getting frustrated with this process. I'm still looking into this for you. This is taking too long to resolve.",1.16,18,False,False,False,20,0,66.67
AGENT_295,384,1,upgrade,angry,I want to upgrade but your process is so frustrating! Thank you for calling. This is Mike. How can I assist you today? I need more time to resolve your concern. Why is this so difficult? I need more time to resolve your concern. This is not acceptable! I'm still looking into this for you. You people are incompetent! This is ridiculous! I'm still looking into this for you. You people are incompetent! This is ridiculous!,1.3,10,False,True,True,9,0,38.4
AGENT_165,297,1,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Sarah. How can I assist you today? Can you repeat your account number? This is taking forever! Fix it NOW! Can you repeat your account number? This is taking forever! Fix it NOW! Let me pull up your account... I don't have time for this! Just solve the problem!,0.94,8,False,True,True,1,0,37.12
AGENT_400,136,1,internet,churn_risk,This is why I'm leaving - your service is unreliable! Thank you for calling. This is Alex. How can I assist you today? I'm still looking into this for you. I'm getting frustrated with this process.,1.25,4,False,True,True,4,1,34.0
AGENT_618,488,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is David. How can I assist you today? I'll need to check on that for you. Thank you for your help. I appreciate it. Let me see what I can find here. This is taking longer than expected. Let me pull up your account... I'm getting frustrated with this process. Let me see what I can find here. I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.98,11,False,False,True,19,0,44.36
AGENT_836,616,1,cancellation,angry,I'm cancelling IMMEDIATELY! Your service is absolutely terrible! Thank you for calling. This is Alex. How can I assist you today? I need more time to resolve your concern. I appreciate you looking into this. I need more time to resolve your concern. This is not acceptable! I'm still looking into this for you. Why is this so difficult? I need more time to resolve your concern. This is not acceptable! I need more time to resolve your concern. This is taking forever! Fix it NOW!,1.53,12,False,True,True,13,1,51.33
AGENT_711,686,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Mike. How can I assist you today? I need to escalate this to our technical team for review. Can you provide more technical details about the fix? I'm consulting with our experts to find the best solution. What's the root cause of this issue? Let me transfer you to a specialist who can better assist. What's the root cause of this issue? Let me transfer you to a specialist who can better assist. Can you provide more technical details about the fix? Let me transfer you to a specialist who can better assist. This is taking longer than expected.,1.49,12,False,False,True,22,0,57.17
AGENT_684,602,4,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is Sarah. How can I assist you today? I can see there's an outage in your area. We expect service to be restored soon. I understand these things happen sometimes. I can reset your connection remotely to resolve this issue. Thank you for your help. I appreciate it. I can reset your connection remotely to resolve this issue. I understand these things happen sometimes. I'm checking your connection status and seeing some network issues. I understand these things happen sometimes. I can reset your connection remotely to resolve this issue. I'm glad you're working on this for me. I can see there's an outage in your area. We expect service to be restored soon. I understand these things happen sometimes.,1.7,14,True,False,False,6,1,43.0
