agent_id,duration_sec,csat_score,issue_category,customer_persona,clean_text,talk_ratio,turns_count,resolved,escalated,churned,hour_of_day,is_weekend,avg_word_per_turn,sanitized_text,x_coord,y_coord,cluster_id
AGENT_493,408,1,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Jennifer. How can I assist you today? I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. Let me transfer you to a specialist who can better assist. This is taking too long to resolve. I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing. I'm consulting with our experts to find the best solution. I'm not happy with how this is progressing.,1.33,12,False,False,True,7,0,34.0,the internet isn't working properly. i can't get my emails. thank you for calling. this is [person]. how can i assist you today? i'm consulting with our experts to find the best solution. i'm not happy with how this is progressing. i need to escalate this to our technical team for review. i'm not happy with how this is progressing. let me transfer you to a specialist who can better assist. this is taking too long to resolve. i'm consulting with our experts to find the best solution. i'm not happy with how this is progressing. i'm consulting with our experts to find the best solution. i'm not happy with how this is progressing.,-3.3773863,2.233517,3
AGENT_653,669,1,internet,churn_risk,"This is why I'm leaving - your service is unreliable! Thank you for calling. This is Mike. How can I assist you today? Let me pull up your account... Okay, thank you for checking on that. Can you repeat your account number? I hope this gets resolved soon. I have to look this up in our system. I'm getting frustrated with this process. Can you repeat your account number? I'm not happy with how this is progressing. Let me see what I can find here. This is taking too long to resolve. Let me see what I can find here. This is taking too long to resolve. I'll need to check on that for you. I'm getting frustrated with this process. Can you repeat your account number? I'm not happy with how this is progressing.",1.08,18,False,True,True,5,0,37.17,"this is why i'm leaving - your service is unreliable! thank you for calling. this is [person]. how can i assist you today? let me pull up your account... okay, thank you for checking on that. can you repeat your account number? i hope this gets resolved soon. i have to look this up in our system. i'm getting frustrated with this process. can you repeat your account number? i'm not happy with how this is progressing. let me see what i can find here. this is taking too long to resolve. let me see what i can find here. this is taking too long to resolve. i'll need to check on that for you. i'm getting frustrated with this process. can you repeat your account number? i'm not happy with how this is progressing.",6.618243,7.4460535,2
AGENT_745,1200,2,cancellation,elderly,"I think I need to cancel some services. I don't use them all. Thank you for calling. This is Mike. How can I assist you today? I'm still looking into this for you. Okay, thank you for checking on that. I'm still looking into this for you. That's helpful information, thanks. I need more time to resolve your concern. I hope this gets resolved soon. Let me continue checking on this issue. I hope this gets resolved soon. I'm still looking into this for you. This is taking too long to resolve. I need more time to resolve your concern. I'm getting frustrated with this process. I need more time to resolve your concern. I'm getting frustrated with this process. I'm still looking into this for you. This is taking too long to resolve.",1.16,18,False,False,False,20,0,66.67,"i think i need to cancel some services. i don't use them all. thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. okay, thank you for checking on that. i'm still looking into this for you. that's helpful information, thanks. i need more time to resolve your concern. i hope this gets resolved soon. let me continue checking on this issue. i hope this gets resolved soon. i'm still looking into this for you. this is taking too long to resolve. i need more time to resolve your concern. i'm getting frustrated with this process. i need more time to resolve your concern. i'm getting frustrated with this process. i'm still looking into this for you. this is taking too long to resolve.",2.4009192,12.111226,2
AGENT_295,384,1,upgrade,angry,I want to upgrade but your process is so frustrating! Thank you for calling. This is Mike. How can I assist you today? I need more time to resolve your concern. Why is this so difficult? I need more time to resolve your concern. This is not acceptable! I'm still looking into this for you. You people are incompetent! This is ridiculous! I'm still looking into this for you. You people are incompetent! This is ridiculous!,1.3,10,False,True,True,9,0,38.4,i want to upgrade but your process is so frustrating! thank you for calling. this is [person]. how can i assist you today? i need more time to resolve your concern. why is this so difficult? i need more time to resolve your concern. this is not acceptable! i'm still looking into this for you. you people are incompetent! this is ridiculous! i'm still looking into this for you. you people are incompetent! this is ridiculous!,15.657031,6.5567837,0
AGENT_165,297,1,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Sarah. How can I assist you today? Can you repeat your account number? This is taking forever! Fix it NOW! Can you repeat your account number? This is taking forever! Fix it NOW! Let me pull up your account... I don't have time for this! Just solve the problem!,0.94,8,False,True,True,1,0,37.12,your device doesn't work and your instructions are garbage! thank you for calling. this is [person]. how can i assist you today? can you repeat your account number? this is taking forever! fix it now! can you repeat your account number? this is taking forever! fix it now! let me pull up your account... i don't have time for this! just solve the problem!,3.072005,-4.5911374,-1
AGENT_400,136,1,internet,churn_risk,This is why I'm leaving - your service is unreliable! Thank you for calling. This is Alex. How can I assist you today? I'm still looking into this for you. I'm getting frustrated with this process.,1.25,4,False,True,True,4,1,34.0,this is why i'm leaving - your service is unreliable! thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. i'm getting frustrated with this process.,6.735033,7.46137,2
AGENT_618,488,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is David. How can I assist you today? I'll need to check on that for you. Thank you for your help. I appreciate it. Let me see what I can find here. This is taking longer than expected. Let me pull up your account... I'm getting frustrated with this process. Let me see what I can find here. I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.98,11,False,False,True,19,0,44.36,i'm having trouble setting up my new device. can you help? thank you for calling. this is [person]. how can i assist you today? i'll need to check on that for you. thank you for your help. i appreciate it. let me see what i can find here. this is taking longer than expected. let me pull up your account... i'm getting frustrated with this process. let me see what i can find here. i'm not happy with how this is progressing. i'm done with this. goodbye.,1.6902492,1.9029837,4
AGENT_836,616,1,cancellation,angry,I'm cancelling IMMEDIATELY! Your service is absolutely terrible! Thank you for calling. This is Alex. How can I assist you today? I need more time to resolve your concern. I appreciate you looking into this. I need more time to resolve your concern. This is not acceptable! I'm still looking into this for you. Why is this so difficult? I need more time to resolve your concern. This is not acceptable! I need more time to resolve your concern. This is taking forever! Fix it NOW!,1.53,12,False,True,True,13,1,51.33,i'm cancelling immediately! your service is absolutely terrible! thank you for calling. this is [person]. how can i assist you today? i need more time to resolve your concern. i appreciate you looking into this. i need more time to resolve your concern. this is not acceptable! i'm still looking into this for you. why is this so difficult? i need more time to resolve your concern. this is not acceptable! i need more time to resolve your concern. this is taking forever! fix it now!,2.6073081,14.768084,2
AGENT_711,686,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Mike. How can I assist you today? I need to escalate this to our technical team for review. Can you provide more technical details about the fix? I'm consulting with our experts to find the best solution. What's the root cause of this issue? Let me transfer you to a specialist who can better assist. What's the root cause of this issue? Let me transfer you to a specialist who can better assist. Can you provide more technical details about the fix? Let me transfer you to a specialist who can better assist. This is taking longer than expected.,1.49,12,False,False,True,22,0,57.17,i've identified billing discrepancies that require correction. thank you for calling. this is [person]. how can i assist you today? i need to escalate this to our technical team for review. can you provide more technical details about the fix? i'm consulting with our experts to find the best solution. what's the root cause of this issue? let me transfer you to a specialist who can better assist. what's the root cause of this issue? let me transfer you to a specialist who can better assist. can you provide more technical details about the fix? let me transfer you to a specialist who can better assist. this is taking longer than expected.,-5.841471,13.312983,1
AGENT_684,602,4,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is Sarah. How can I assist you today? I can see there's an outage in your area. We expect service to be restored soon. I understand these things happen sometimes. I can reset your connection remotely to resolve this issue. Thank you for your help. I appreciate it. I can reset your connection remotely to resolve this issue. I understand these things happen sometimes. I'm checking your connection status and seeing some network issues. I understand these things happen sometimes. I can reset your connection remotely to resolve this issue. I'm glad you're working on this for me. I can see there's an outage in your area. We expect service to be restored soon. I understand these things happen sometimes.,1.7,14,True,False,False,6,1,43.0,my connection has been spotty lately. any idea what's happening? thank you for calling. this is [person]. how can i assist you today? i can see there's an outage in your area. we expect service to be restored soon. i understand these things happen sometimes. i can reset your connection remotely to resolve this issue. thank you for your help. i appreciate it. i can reset your connection remotely to resolve this issue. i understand these things happen sometimes. i'm checking your connection status and seeing some network issues. i understand these things happen sometimes. i can reset your connection remotely to resolve this issue. i'm glad you're working on this for me. i can see there's an outage in your area. we expect service to be restored soon. i understand these things happen sometimes.,-2.9199572,1.1802101,3
